Date,NRU,DAU
2025-01-29,9311,9310
2025-01-30,4164,9101
2025-01-31,3069,9017
2025-02-01,2232,8279
2025-02-02,1824,8173
2025-02-03,1220,6969
2025-02-04,1004,6225
2025-02-05,870,5619
2025-02-06,784,5241
2025-02-07,822,5181
2025-02-08,723,4885
2025-02-09,604,4358
2025-02-10,621,4405
2025-02-11,766,4361
2025-02-12,584,4002
2025-02-13,514,3798
2025-02-14,628,4109
2025-02-15,539,3905
2025-02-16,398,3484
2025-02-17,347,3283
2025-02-18,363,3099
2025-02-19,308,2942
2025-02-20,282,2827
2025-02-21,290,2882
2025-02-22,329,2995
2025-02-23,260,2806
2025-02-24,209,2534
2025-02-25,219,2400
2025-02-26,221,2680
2025-02-27,190,2583
2025-02-28,213,2539
2025-03-01,182,2422
2025-03-02,183,2214
2025-03-03,106,2035
2025-03-04,143,2088
2025-03-05,100,1923
2025-03-06,107,1860
2025-03-07,123,1835
2025-03-08,131,1799
2025-03-09,66,1539
2025-03-10,67,1517
2025-03-11,58,1398
2025-03-12,65,1182
2025-03-13,60,1103
2025-03-14,34,965
2025-03-15,88,919
2025-03-16,108,865
2025-03-17,110,883
2025-03-18,90,793
2025-03-19,154,1586
2025-03-20,251,1801
2025-03-21,289,1844
2025-03-22,316,1928
2025-03-23,221,1722
2025-03-24,197,1644
